Type|Color|Strong_against|Weak_against|No_effect|Resists|Weak_to|Immune_to
Bug|aabb22|Dark;Grass;Psychic|Fairy;Fighting;Fire;Flying;Ghost;Poison;Steel||Fighting;Grass;Ground|Fire;Flying;Rock|
Dark|775544|Ghost;Psychic|Dark;Fairy;Fighting||Dark;Ghost|Bug;Fairy;Fighting|Psychic
Dragon|7766ee|Dragon|Steel|Fairy|Electric;Fire;Grass;Water|Dragon;Fairy;Ice|
Electric|ffcc33|Flying;Water|Dragon;Electric;Grass|Ground|Electric;Flying;Steel|Ground|
Fairy|ffaaff|Dark;Dragon;Fighting|Fire;Poison;Steel||Bug;Dark;Fighting|Poison;Steel|Dragon
Fighting|bb5544|Dark;Ice;Normal;Rock;Steel|Bug;Fairy;Flying;Poison;Psychic|Ghost|Bug;Dark;Rock|Fairy;Flying;Psychic|
Fire|ff4422|Bug;Grass;Ice;Steel|Dragon;Fire;Rock;Water||Bug;Fairy;Fire;Grass;Ice;Steel|Ground;Rock;Water|
Flying|6699ff|Bug;Fighting;Grass|Electric;Rock;Steel||Bug;Fighting;Grass|Electric;Ice;Rock|Ground
Ghost|6666bb|Ghost;Psychic|Dark|Normal|Bug;Poison|Dark;Ghost|Normal;Fighting
Grass|77cc55|Ground;Rock;Water|Bug;Dragon;Fire;Flying;Grass;Poison;Steel||Electric;Grass;Ground;Water|Bug;Fire;Flying;Ice;Poison|
Ground|ddbb55|Electric;Fire;Poison;Rock;Steel|Bug;Grass|Flying|Poison;Rock|Grass;Ice;Water|Electric
Ice|77ddff|Dragon;Flying;Grass;Ground|Fire;Ice;Steel;Water||Ice|Fighting;Fire;Rock;Steel|
Normal|bbbbaa||Rock;Steel|Ghost||Fighting|Ghost
Poison|aa5599|Fairy;Grass|Ghost;Ground;Poison;Rock|Steel|Bug;Fairy;Fighting;Grass;Poison|Ground;Psychic|
Psychic|ff5599|Fighting;Poison|Psychic;Steel|Dark|Fighting;Psychic|Bug;Dark;Ghost|
Rock|bbaa66|Bug;Fire;Flying;Ice|Fighting;Ground;Steel||Fire;Flying;Normal;Poison|Fighting;Grass;Ground;Steel;Water|
Steel|aaaabb|Fairy;Ice;Rock|Electric;Fire;Steel;Water||Bug;Dragon;Fairy;Flying;Grass;Ice;Normal;Psychic;Rock;Steel|Fighting;Fire;Ground|Poison
Water|3399ff|Fire;Ground;Rock|Dragon;Grass;Water||Fire;Ice;Steel;Water|Electric;Grass|
